id,title,group,salesrank,review_cnt,downloads,rating
12,"Fantastic Food with Splenda : 160 Great Recipes for Meals Low in Sugar, Carbohydrates, Fat, and Calories",Book,24741.0,12,12,4.5
33,"Double Jeopardy (T*Witches, 6)",Book,97166.0,4,4,5.0
39,Night of Many Dreams : A Novel,Book,57186.0,22,22,3.5
45,Beginning ASP.NET Databases using C#,Book,48408.0,4,4,4.0
74,Service Delivery (It Infrastructure Library Series),Book,27507.0,2,2,4.0
77,Water Touching Stone,Book,27012.0,11,11,4.5
78,The Ebony Cookbook: A Date With a Dish,Book,140480.0,3,3,4.5
79,Today's Military Wife: Meeting the Challenges of Service Life (Today's Military Wife),Book,7437.0,12,12,4.5
82,"Puddnhead Wilson : And, Those Extraordinary Twins (The Penguin English Library)",Book,60668.0,4,4,5.0
105,"Learning in Overdrive: Designing Curriculum, Instruction, and Assessment from Standards : A Manual for Teachers",Book,114176.0,2,2,2.5
110,Casanova in Bohemia : A Novel,Book,92775.0,10,10,4.0
117,Site Unseen : An Emma Fielding Mystery (Emma Fielding Mysteries),Book,38915.0,6,6,4.5
120,Capital : A Critique of Political Economy (Penguin Classics),Book,17693.0,40,40,4.0
121,Ten Black Dots,Book,144348.0,1,1,5.0
127,Ballroom Dancing,Book,36535.0,5,5,5.0
130,"The O'Reilly Factor: The Good, the Bad, and the Completely Ridiculous in American Life",Book,29460.0,375,375,3.5
131,"The 2R Manager: When to Relate, When to Require, and How to Do Both Effectively",Book,122152.0,3,3,5.0
136,"Understanding Islam: An Introduction to the Muslim World, Third Revised and Updated Edition",Book,90195.0,14,14,3.5
137,Apples of Gold: A Six-Week Nurturing Program for Women,Book,129355.0,4,4,5.0
147,"The New Jewish Wedding, Revised",Book,11398.0,18,18,4.5
148,Firebird,Book,77008.0,42,42,4.0
170,Lafayette,Book,46461.0,8,8,5.0
173,Current Diagnosis & Treatment in Infectious Diseases,Book,31834.0,2,2,4.0
185,"The Rise of the Creative Class: And How It's Transforming Work, Leisure, Community and Everyday Life",Book,14050.0,45,45,3.5
187,Words for Smart Test Takers (Academic Test Preparation Series),Book,17104.0,4,4,5.0
193,How to Be Good,Book,10350.0,261,260,3.0
196,Modeling With Nlp,Book,141429.0,0,0,0.0
199,My Life with the Chimpanzees,Book,108497.0,8,8,4.5
203,Crush Price Objections,Book,85953.0,0,0,0.0
215,China Run : A Novel,Book,97668.0,21,21,4.0
224,Junebug and the Reverend,Book,138623.0,1,1,5.0
244,Phonics Pathways,Book,136845.0,22,22,4.5
249,Homeschooling for Excellence,Book,45389.0,17,17,4.0
255,Hitty : Her First Hundred Years,Book,144965.0,27,27,4.0
256,"Walk-Behind Lawn Mower: Service Manual (Walk-Behind Lawn Mower Service Manual, 5th ed)",Book,86373.0,1,1,5.0
257,Bloomability,Book,38960.0,167,167,4.5
261,The Harvard Design School Guide to Shopping / Harvard Design School Project on the City 2,Book,59428.0,7,7,3.5
265,Earth Power: Techniques of Natural Magic (Llewellyn's Practical Magick),Book,100261.0,47,47,4.5
268,Morris Goes to School (I Can Read Book 1),Book,106400.0,8,8,5.0
269,Memoirs of General W.T. Sherman (Penguin Classics),Book,92489.0,18,18,4.5
274,Ernest Hemingway Audio Collection CD,Book,25072.0,1,1,2.0
275,Activity Schedules for Children With Autism: Teaching Independent Behavior (Topics in Autism),Book,12528.0,9,9,4.5
278,Medal Of Honor: Frontline : Prima's Official Strategy Guide,Book,94940.0,3,3,4.0
282,Son of the Mob (Son of the Mob (Hardcover)),Book,135990.0,74,74,4.5
296,The Da Vinci Code,Book,19.0,3049,3049,3.5
302,"Slowing Down to the Speed of Life: How To Create A More Peaceful, Simpler Life From the Inside Out",Book,13592.0,14,14,4.5
